start,start_time,end,end_time
Mariehamn,2023-06-26 11:31:31,Stockholm,2023-06-26 16:52:34
Stockholm,2023-06-26 18:22:44,Turku,2023-06-27 04:29:28
Turku,2023-06-27 06:04:53,Mariehamn,2023-06-27 11:10:45
Mariehamn,2023-06-27 11:30:43,Stockholm,2023-06-27 16:51:50
Stockholm,2023-06-27 18:26:59,Turku,2023-06-28 04:33:31
Turku,2023-06-28 05:43:41,Mariehamn,2023-06-28 11:14:43
Mariehamn,2023-06-28 11:39:43,Stockholm,2023-06-28 17:00:42
Stockholm,2023-06-28 18:26:02,Turku,2023-06-29 04:32:37
Turku,2023-06-29 05:47:59,Mariehamn,2023-06-29 11:13:43
Mariehamn,2023-06-29 11:33:52,Stockholm,2023-06-29 16:59:44
Stockholm,2023-06-29 18:25:03,Turku,2023-06-30 04:41:35
Turku,2023-06-30 05:46:45,Mariehamn,2023-06-30 11:12:56
Mariehamn,2023-06-30 11:37:59,Stockholm,2023-06-30 16:58:28
Stockholm,2023-06-30 18:13:58,Turku,2023-07-01 04:36:06
Turku,2023-07-01 05:01:11,Mariehamn,2023-07-01 11:12:10
Mariehamn,2023-07-01 11:37:05,Stockholm,2023-07-01 17:03:09
Stockholm,2023-07-01 18:08:19,Turku,2023-07-02 04:34:55
Turku,2023-07-02 05:19:59,Mariehamn,2023-07-02 11:11:10
Mariehamn,2023-07-02 11:36:00,Stockholm,2023-07-02 16:56:56
Stockholm,2023-07-02 18:22:15,Turku,2023-07-03 04:29:01
Turku,2023-07-03 06:09:18,Mariehamn,2023-07-03 11:10:05
Mariehamn,2023-07-03 11:35:05,Stockholm,2023-07-03 17:01:07
Stockholm,2023-07-03 18:26:17,Turku,2023-07-04 04:33:08
Turku,2023-07-04 06:03:18,Mariehamn,2023-07-04 11:17:51
Mariehamn,2023-07-04 11:23:53,Stockholm,2023-07-04 17:00:00
Stockholm,2023-07-04 17:15:06,Turku,2023-07-05 04:32:05
Turku,2023-07-05 05:57:19,Mariehamn,2023-07-05 11:13:18
Mariehamn,2023-07-05 11:38:19,Stockholm,2023-07-05 16:59:19
Stockholm,2023-07-05 18:24:29,Turku,2023-07-06 04:36:19
Turku,2023-07-06 05:46:31,Mariehamn,2023-07-06 11:12:27
Mariehamn,2023-07-06 11:32:38,Stockholm,2023-07-06 16:53:45
Stockholm,2023-07-06 17:28:46,Turku,2023-07-07 04:30:58
Turku,2023-07-07 05:11:07,Mariehamn,2023-07-07 11:12:08
Mariehamn,2023-07-07 11:21:57,Stockholm,2023-07-07 16:58:17
Stockholm,2023-07-07 18:03:27,Turku,2023-07-08 04:35:17
Turku,2023-07-08 05:45:27,Mariehamn,2023-07-08 11:16:41
Mariehamn,2023-07-08 11:41:37,Stockholm,2023-07-08 17:02:43
Stockholm,2023-07-08 18:12:51,Turku,2023-07-09 04:34:37
Turku,2023-07-09 05:44:48,Mariehamn,2023-07-09 11:10:51
Mariehamn,2023-07-09 11:35:52,Stockholm,2023-07-09 16:56:56
Stockholm,2023-07-09 18:07:05,Turku,2023-07-10 04:28:45
Turku,2023-07-10 05:49:05,Mariehamn,2023-07-10 11:20:04
Mariehamn,2023-07-10 11:44:58,Stockholm,2023-07-10 17:11:09
Stockholm,2023-07-10 18:26:20,Turku,2023-07-11 04:32:55
Turku,2023-07-11 05:53:07,Mariehamn,2023-07-11 11:09:12
Mariehamn,2023-07-11 11:34:11,Stockholm,2023-07-11 16:55:08
Stockholm,2023-07-11 17:15:18,Turku,2023-07-12 04:32:33
Turku,2023-07-12 05:47:44,Mariehamn,2023-07-12 11:13:43
Mariehamn,2023-07-12 11:38:47,Stockholm,2023-07-12 17:04:37
Stockholm,2023-07-12 18:14:57,Turku,2023-07-13 04:31:42
Turku,2023-07-13 05:47:02,Mariehamn,2023-07-13 11:13:02
Mariehamn,2023-07-13 11:38:09,Stockholm,2023-07-13 17:04:04
Stockholm,2023-07-13 18:24:14,Turku,2023-07-14 04:30:56
