start,start_time,end,end_time
Helsinki,2023-05-12 19:16:52,Tallinn,2023-05-12 21:36:07
Tallinn,2023-05-13 04:18:39,Helsinki,2023-05-13 06:34:04
Helsinki,2023-05-13 07:19:12,Tallinn,2023-05-13 09:34:07
Tallinn,2023-05-13 10:14:49,Helsinki,2023-05-13 12:33:57
Helsinki,2023-05-13 13:15:15,Tallinn,2023-05-13 15:30:42
Tallinn,2023-05-13 16:15:50,Helsinki,2023-05-13 18:35:32
Helsinki,2023-05-13 19:16:26,Tallinn,2023-05-13 21:36:44
Tallinn,2023-05-14 04:18:10,Helsinki,2023-05-14 06:33:29
Helsinki,2023-05-14 07:18:36,Tallinn,2023-05-14 09:34:03
Tallinn,2023-05-14 10:14:12,Helsinki,2023-05-14 12:33:00
Helsinki,2023-05-14 13:14:43,Tallinn,2023-05-14 15:34:26
Tallinn,2023-05-14 16:15:19,Helsinki,2023-05-14 18:33:51
Helsinki,2023-05-14 19:15:55,Tallinn,2023-05-14 21:36:16
Tallinn,2023-05-15 04:17:35,Helsinki,2023-05-15 06:32:53
Helsinki,2023-05-15 07:13:04,Tallinn,2023-05-15 09:33:37
Tallinn,2023-05-15 10:18:47,Helsinki,2023-05-15 12:34:05
Helsinki,2023-05-15 13:19:14,Tallinn,2023-05-15 15:29:38
Tallinn,2023-05-15 16:24:51,Helsinki,2023-05-15 18:35:09
Helsinki,2023-05-15 19:20:18,Tallinn,2023-05-15 21:34:32
Tallinn,2023-05-16 04:16:54,Helsinki,2023-05-16 06:36:35
Helsinki,2023-05-16 07:17:27,Tallinn,2023-05-16 09:32:46
